Year,Average Ticket Price,Total Gross,Number of Movies,#1 Movie
2019,9.16,11237.9,788,Avengers: Endgame
2018,9.11,11611.3,878,Black Panther
2017,8.97,11125.4,740,Star Wars: Episode VIII - The Last Jedi
2016,8.65,11373.7,737,Rogue One: A Star Wars Story
2015,8.43,11098.8,706,Star Wars: Episode VII - The Force Awakens
2014,8.17,10436.8,708,American Sniper
2013,8.13,10955.9,689,The Hunger Games: Catching Fire
2012,7.96,10959.6,669,The Avengers
2011,7.93,10114.1,601,Harry Potter and the Deathly Hallows: Part 2
2010,7.89,10212.7,538,Toy Story 3
2009,7.5,10821.6,520,Avatar
2008,7.18,9698.2,607,The Dark Knight
2007,6.88,9690.7,632,Spider-Man 3
2006,6.55,9214.6,608,Pirates of the Caribbean: Dead Man's Chest
2005,6.41,8804.7,547,Star Wars: Episode III - Revenge of the Sith
2004,6.21,9321.7,551,Shrek 2
2003,6.03,9057.5,506,The Lord of the Rings: The Return of the King
2002,5.8,9206.4,480,Spider-Man
2001,5.65,8070.0,356,Harry Potter and the Sorcerer's Stone
2000,5.39,7678.3,371,How the Grinch Stole Christmas
1999,5.06,7316.7,385,Star Wars: Episode I - The Phantom Menace
1998,4.69,6575.8,336,Saving Private Ryan
1997,4.59,6671.8,303,Titanic
1996,4.42,5706.7,310,Independence Day
1995,4.35,5383.5,279,Toy Story
1994,4.08,5079.2,254,Forrest Gump
1993,4.14,4983.2,258,Jurassic Park
1992,4.15,4603.9,234,Aladdin
1991,4.21,4313.9,244,Terminator 2: Judgment Day
1990,4.22,4527.0,224,Home Alone
1989,3.99,4155.4,236,Batman
1988,4.11,3565.8,248,Rain Man
1987,3.91,3562.9,232,Three Men and a Baby
1986,3.71,3200.5,207,Top Gun
1985,3.55,3056.4,180,Back to the Future
1984,3.36,3347.7,165,Beverly Hills Cop
1983,3.15,2652.9,158,Star Wars: Episode VI - Return of the Jedi
1982,2.94,2866.2,131,E.T. the Extra-Terrestrial
1981,2.78,2281.9,112,Raiders of the Lost Ark
1980,2.69,2299.0,115,Star Wars: Episode V - The Empire Strikes Back
1979,2.47,1957.5,83,Kramer vs. Kramer
1978,2.34,1552.3,55,Grease
1977,2.23,1373.1,35,Star Wars: Episode IV - A New Hope
