Overall number,Name,Writer,Millions of viewers
1,Pilot,Ricky Gervais & Stephen Merchant and Greg Daniels,11.2
2,Diversity Day,B. J. Novak,6.0
3,Health Care,Paul Lieberstein,5.8
4,The Alliance,Michael Schur,5.4
5,Basketball,Greg Daniels,5.0
6,Hot Girl,Mindy Kaling,4.8
7,The Dundies,Mindy Kaling,9.0
8,Sexual Harassment,B. J. Novak,7.13
9,Office Olympics,Michael Schur,8.3
10,The Fire,B. J. Novak,7.6
11,Halloween,Greg Daniels,8.0
12,The Fight,Gene Stupnitsky & Lee Eisenberg,7.9
13,The Client,Paul Lieberstein,7.5
14,Performance Review,Larry Wilmore,8.0
15,Email Surveillance,Jennifer Celotta,8.1
16,Christmas Party,Michael Schur,9.7
17,Booze Cruise,Greg Daniels,8.7
18,The Injury,Mindy Kaling,10.3
19,The Secret,Lee Eisenberg & Gene Stupnitsky,8.7
20,The Carpet,Paul Lieberstein,8.6
21,Boys and Girls,B. J. Novak,5.42
22,Valentine's Day,Michael Schur,8.95
23,Dwight's Speech,Paul Lieberstein,8.4
24,Take Your Daughter to Work Day,Mindy Kaling,8.8
25,Michael's Birthday,Gene Stupnitsky & Lee Eisenberg,7.8
26,Drug Testing,Jennifer Celotta,7.8
27,Conflict Resolution,Greg Daniels,7.4
28,Casino Night†,Steve Carell,7.6
29,Gay Witch Hunt,Greg Daniels,9.11
30,The Convention,Gene Stupnitsky & Lee Eisenberg,7.78
31,The Coup,Paul Lieberstein,8.89
32,Grief Counseling,Jennifer Celotta,8.83
33,Initiation,B. J. Novak,8.46
34,Diwali,Mindy Kaling,8.81
35,Branch Closing†,Michael Schur,8.05
36,The Merger†,Brent Forrester,8.63
37,The Convict,Ricky Gervais & Stephen Merchant,9.07
38,A Benihana Christmas‡,Jennifer Celotta,8.44
39,Back from Vacation,Justin Spitzer,8.8
40,Traveling Salesmen,Michael Schur & Lee Eisenberg & Gene Stupnitsky,10.12
41,The Return†,Lee Eisenberg & Gene Stupnitsky & Michael Schur,10.2
42,Ben Franklin,Mindy Kaling,10.11
43,Phyllis' Wedding,Caroline Williams,8.84
44,Business School,Brent Forrester,8.84
45,Cocktails,Paul Lieberstein,8.3
46,The Negotiation†,Michael Schur,6.74
47,Safety Training,B. J. Novak,7.71
48,Product Recall,Justin Spitzer & Brent Forrester,7.56
49,Women's Appreciation†,Gene Stupnitsky & Lee Eisenberg,7.0
50,Beach Games†,Jennifer Celotta & Greg Daniels,7.2
51,The Job‡,Paul Lieberstein & Michael Schur,7.88
52,Fun Run‡,Greg Daniels,9.7
53,Dunder Mifflin Infinity‡,Michael Schur,8.49
54,Launch Party‡,Jennifer Celotta,8.91
55,Money‡,Paul Lieberstein,8.5
56,Local Ad,B. J. Novak,8.98
57,Branch Wars,Mindy Kaling,8.39
58,Survivor Man,Steve Carell,8.29
59,The Deposition,Lester Lewis,8.86
60,Dinner Party,Gene Stupnitsky & Lee Eisenberg,9.22
61,Chair Model,B. J. Novak,9.81
62,Night Out,Mindy Kaling,7.56
63,Did I Stutter?,Brent Forrester & Justin Spitzer,7.67
64,Job Fair,Lee Eisenberg & Gene Stupnitsky,7.22
65,"Goodbye, Toby‡",Jennifer Celotta & Paul Lieberstein,8.07
66,Weight Loss‡,Lee Eisenberg & Gene Stupnitsky,9.2
67,Business Ethics,Ryan Koh,8.99
68,Baby Shower,Aaron Shure,8.07
69,Crime Aid,Charlie Grandy,7.74
70,Employee Transfer,Anthony Q. Farrell,9.32
71,Customer Survey,Lester Lewis,8.35
72,Business Trip,Brent Forrester,8.18
73,Frame Toby,Mindy Kaling,8.4
74,The Surplus,Gene Stupnitsky & Lee Eisenberg,8.33
75,Moroccan Christmas,Justin Spitzer,8.79
76,The Duel,Jennifer Celotta,8.5
77,Prince Family Paper,B. J. Novak,8.74
78,Stress Relief‡,Paul Lieberstein,22.91
79,Lecture Circuit: Part 1,Mindy Kaling,8.39
80,Lecture Circuit: Part 2,Mindy Kaling,8.89
81,Blood Drive,Brent Forrester,8.63
82,Golden Ticket,Mindy Kaling,7.51
83,New Boss,Lee Eisenberg & Gene Stupnitsky,7.95
84,Two Weeks,Aaron Shure,8.45
85,Dream Team,B. J. Novak,7.2
86,Michael Scott Paper Company,Justin Spitzer,7.94
87,Heavy Competition,Ryan Koh,8.24
88,Broke,Charlie Grandy,7.21
89,Casual Friday,Anthony Q. Farrell,7.31
90,Cafe Disco,Warren Lieberstein & Halsted Sullivan,7.71
91,Company Picnic,Jennifer Celotta & Paul Lieberstein,6.72
92,Gossip,Paul Lieberstein,8.2
93,The Meeting,Aaron Shure,7.33
94,The Promotion,Jennifer Celotta,7.28
95,Niagara‡,Greg Daniels & Mindy Kaling,9.42
96,Mafia,Brent Forrester,8.1
97,The Lover,Lee Eisenberg & Gene Stupnitsky,8.52
98,Koi Pond,Warren Lieberstein & Halsted Sullivan,8.2
99,Double Date,Charlie Grandy,7.94
100,Murder,Daniel Chun,7.76
101,Shareholder Meeting,Justin Spitzer,7.43
102,Scott's Tots,Gene Stupnitsky & Lee Eisenberg,8.1
103,Secret Santa,Mindy Kaling,8.51
104,The Banker,Jason Kessler,7.29
105,Sabre,Jennifer Celotta,7.36
106,The Manager and the Salesman,Mindy Kaling,7.4
107,The Delivery‡,Daniel ChunCharlie Grandy,9.0
108,St. Patrick's Day,Jonathan Hughes,7.51
109,New Leads,Brent Forrester,7.63
110,Happy Hour,B. J. Novak,7.17
111,Secretary's Day,Mindy Kaling,6.3
112,Body Language,Justin Spitzer,7.01
113,The Cover-Up,Gene Stupnitsky & Lee Eisenberg,6.84
114,The Chump,Aaron Shure,6.6
115,Whistleblower,Warren Lieberstein & Halsted Sullivan,6.6
116,Nepotism,Daniel Chun,8.4
117,Counseling,B. J. Novak,7.36
118,Andy's Play,Charlie Grandy,6.95
119,Sex Ed,Paul Lieberstein,7.36
120,The Sting,Mindy Kaling,6.87
121,Costume Contest,Justin Spitzer,8.07
122,Christening,Peter Ocko,7.65
123,Viewing Party,Jon Vitti,7.15
124,WUPHF.com,Aaron Shure,7.28
125,China,Halsted Sullivan & Warren Lieberstein,7.31
126,Classy Christmas‡,Mindy Kaling,7.18
127,Ultimatum,Carrie Kemper,8.26
128,The Seminar,Steve Hely,7.93
129,The Search,Brent Forrester,7.29
130,PDA,Robert Padnick,6.9
131,Threat Level Midnight,B. J. Novak,6.41
132,Todd Packer,Amelie Gillette,6.12
133,Garage Sale,Jon Vitti,7.07
134,Training Day,Daniel Chun,7.87
135,Michael's Last Dundies,Mindy Kaling,6.85
136,"Goodbye, Michael†",Greg Daniels,8.42
137,The Inner Circle,Charlie Grandy,6.9
138,"Dwight K. Schrute, (Acting) Manager",Justin Spitzer,6.45
139,Search Committee‡,Paul Lieberstein,7.29
140,The List,B. J. Novak,7.64
141,The Incentive,Paul Lieberstein,6.7
142,Lotto,Charlie Grandy,5.82
143,Garden Party,Justin Spitzer,6.08
144,Spooked,Carrie Kemper,5.53
145,Doomsday,Daniel Chun,6.15
146,Pam's Replacement,Allison Silverman,5.96
147,Gettysburg,Robert Padnick,5.5
148,Mrs. California,Dan Greaney,5.71
149,Christmas Wishes,Mindy Kaling,5.79
150,Trivia,Steve Hely,5.9
151,Pool Party,Owen Ellickson,6.02
152,Jury Duty,Aaron Shure,5.31
153,Special Project,Amelie Gillette,5.19
154,Tallahassee,Daniel Chun,4.38
155,After Hours,Halsted Sullivan & Warren Lieberstein,5.02
156,Test the Store,Mindy Kaling,4.95
157,Last Day in Florida,Robert Padnick,4.89
158,Get the Girl,Charlie Grandy,4.87
159,Welcome Party,Steve Hely,4.39
160,Angry Andy,Justin Spitzer,4.35
161,Fundraiser,Owen Ellickson,4.17
162,Turf War,Warren Lieberstein & Halsted Sullivan,4.44
163,Free Family Portrait Studio,B. J. Novak,4.49
164,New Guys,Greg Daniels,4.28
165,Roy's Wedding,Allison Silverman,4.13
166,Andy's Ancestry,Jonathan Green & Gabe Miller,4.14
167,Work Bus,Brent Forrester,4.28
168,Here Comes Treble,Owen Ellickson,4.0
169,The Boat,Dan Sterling,4.83
170,The Whale,Carrie Kemper,4.16
171,The Target,Graham Wagner,3.88
172,Dwight Christmas,Robert Padnick,4.16
173,Lice,Niki Schwartz-Wright,4.54
174,Suit Warehouse,Dan Greaney,4.15
175,Customer Loyalty,Jonathan Green & Gabe Miller,4.19
176,Junior Salesman,Carrie Kemper,4.45
177,Vandalism,Owen Ellickson,3.97
178,Couples Discount,Allison Silverman,4.15
179,Moving On‡,Graham Wagner,4.06
180,The Farm,Paul Lieberstein,3.54
181,Promos,Tim McAuliffe,3.44
182,Stairmageddon,Dan Sterling,3.83
183,Paper Airplane,Halsted Sullivan & Warren Lieberstein,3.25
184,Livin' the Dream‡,Niki Schwartz-Wright,3.51
185,A.A.R.M.‡,Brent Forrester,4.56
186,Finale*,Greg Daniels,5.69
